accession,family
NC_001526.4,Papillomaviridae
NC_006938.1,Siphoviridae
NC_007408.1,Alphaflexiviridae
NC_007731.1,Alphaflexiviridae
NC_007211.1,Geminiviridae
NC_030747.1,Narnaviridae
NC_026136.1,Endornaviridae
NC_021532.1,Podoviridae
NC_010247.1,Arenaviridae
NC_010251.1,Arenaviridae
NC_009944.1,Chrysoviridae
NC_009945.1,Chrysoviridae
NC_009946.1,Chrysoviridae
NC_009947.1,Chrysoviridae
NC_018402.1,Bromoviridae
NC_018403.1,Bromoviridae
NC_018404.1,Bromoviridae
NC_033835.1,Phenuiviridae
NC_033844.1,Phenuiviridae
NC_033845.1,Phenuiviridae
NC_005832.1,Iridoviridae
NC_031751.1,Parvoviridae
NC_022755.1,Rhabdoviridae
NC_017859.1,Betaflexiviridae
NC_003451.1,Bromoviridae
NC_003452.1,Bromoviridae
NC_003453.1,Bromoviridae
NC_027214.1,Picornaviridae
NC_002520.1,Poxviridae
NC_024358.1,Podoviridae
NC_011559.1,Tymoviridae
NC_013036.1,Herpesviridae
NC_020470.1,Tymoviridae
NC_020471.1,Tymoviridae
NC_003466.1,Hantaviridae
NC_003467.2,Hantaviridae
NC_003468.2,Hantaviridae
NC_028262.1,Geminiviridae
NC_007733.2,Tombusviridae
NC_023421.1,Circoviridae
NC_013668.3,Alloherpesviridae
NC_022581.1,Rhabdoviridae
NC_033836.1,Phenuiviridae
NC_033837.1,Phenuiviridae
NC_033846.1,Phenuiviridae
NC_023426.1,Poxviridae
NC_030115.1,Dicistroviridae
NC_031327.1,Flaviviridae
NC_023848.1,Iridoviridae
NC_004800.1,Polyomaviridae
NC_001701.1,Parvoviridae
NC_006147.2,Parvoviridae
NC_023483.1,Iflaviridae
NC_008035.3,Baculoviridae
NC_031761.1,Baculoviridae
NC_008520.2,Baculoviridae
NC_035189.1,Amalgaviridae
NC_016447.1,Herpesviridae
NC_004365.1,Dicistroviridae
NC_034973.1,Dicistroviridae
NC_035115.1,Dicistroviridae
NC_035071.1,Flaviviridae
NC_014905.1,Potyviridae
NC_018504.1,Baculoviridae
NC_024893.1,Papillomaviridae
NC_001409.1,Betaflexiviridae
NC_026760.1,Geminiviridae
NC_018714.1,Betaflexiviridae
NC_003787.1,Secoviridae
NC_003788.1,Secoviridae
NC_003464.1,Bromoviridae
NC_003465.1,Bromoviridae
NC_003480.1,Bromoviridae
NC_001749.2,Betaflexiviridae
NC_003462.2,Betaflexiviridae
NC_014821.1,Betaflexiviridae
NC_006946.1,Betaflexiviridae
NC_023295.1,Betaflexiviridae
NC_009891.1,Picornaviridae
NC_007582.1,Reoviridae
NC_007583.1,Reoviridae
NC_007584.1,Reoviridae
NC_007585.1,Reoviridae
NC_007586.1,Reoviridae
NC_007587.1,Reoviridae
NC_007588.1,Reoviridae
NC_007589.1,Reoviridae
NC_007590.1,Reoviridae
NC_007591.1,Reoviridae
NC_007592.1,Reoviridae
NC_005166.1,Reoviridae
NC_005167.1,Reoviridae
NC_005168.1,Reoviridae
NC_005169.1,Reoviridae
NC_005170.1,Reoviridae
NC_005171.1,Reoviridae
NC_005172.1,Reoviridae
NC_005173.1,Reoviridae
NC_005174.1,Reoviridae
NC_005175.1,Reoviridae
NC_005176.1,Reoviridae
NC_010584.1,Reoviridae
NC_010585.1,Reoviridae
NC_010586.1,Reoviridae
NC_010587.1,Reoviridae
NC_010588.1,Reoviridae
NC_010589.1,Reoviridae
NC_010590.1,Reoviridae
NC_010591.1,Reoviridae
NC_010592.1,Reoviridae
NC_010593.1,Reoviridae
NC_010594.1,Reoviridae
NC_030889.1,Partitiviridae
NC_030890.1,Partitiviridae
NC_006056.1,Secoviridae
NC_006057.1,Secoviridae
NC_032104.1,Alphaflexiviridae
NC_020808.1,Rhabdoviridae
NC_025393.1,Rhabdoviridae
NC_008695.1,Siphoviridae
NC_027121.1,Closteroviridae
NC_036585.1,Iflaviridae
NC_014609.1,Totiviridae
NC_029082.1,Phenuiviridae
NC_018176.1,Potyviridae
NC_020897.1,Secoviridae
NC_020898.1,Secoviridae
NC_034264.1,Betaflexiviridae
NC_027796.1,Circoviridae
NC_031252.1,Myoviridae
NC_022972.2,Siphoviridae
NC_026606.1,Myoviridae
NC_028692.1,Siphoviridae
NC_031231.1,Siphoviridae
NC_031254.1,Siphoviridae
NC_031224.2,Siphoviridae
NC_016752.1,Parvoviridae
NC_026759.1,Potyviridae
NC_001339.1,Tombusviridae
NC_023633.1,Phenuiviridae
NC_023634.1,Phenuiviridae
NC_023635.1,Phenuiviridae
NC_015523.1,Tymoviridae
NC_025388.1,Betaflexiviridae
NC_028868.1,Betaflexiviridae
NC_028975.1,Betaflexiviridae
NC_025821.1,Potyviridae
NC_011807.1,Bromoviridae
NC_011808.1,Bromoviridae
NC_011809.1,Bromoviridae
NC_003400.1,Alphaflexiviridae
NC_010416.1,Alphaflexiviridae
NC_027426.1,Astroviridae
NC_016155.1,Astroviridae
NC_019028.1,Astroviridae
NC_019026.1,Astroviridae
NC_019027.1,Astroviridae
NC_016896.1,Astroviridae
NC_026513.1,Geminiviridae
NC_026514.1,Geminiviridae
NC_019853.1,Polyomaviridae
NC_034446.1,Herpesviridae
NC_001987.1,Herpesviridae
NC_003470.1,Partitiviridae
NC_003471.1,Partitiviridae
NC_024031.1,Caliciviridae
NC_007654.1,Retroviridae
NC_027924.1,Caulimoviridae
NC_030653.1,Flaviviridae
NC_003900.1,Togaviridae
NC_024697.1,Phycodnaviridae
NC_035674.1,Totiviridae
NC_003243.1,Rhabdoviridae
NC_001623.1,Baculoviridae
NC_005790.1,Astroviridae
NC_004764.2,Polyomaviridae
NC_025349.3,Paramyxoviridae
NC_025407.1,Paramyxoviridae
NC_025363.1,Paramyxoviridae
NC_030231.1,Paramyxoviridae
NC_025373.1,Paramyxoviridae
NC_019531.1,Paramyxoviridae
NC_025361.1,Paramyxoviridae
NC_025347.1,Paramyxoviridae
NC_025390.1,Paramyxoviridae
NC_024296.1,Bornaviridae
NC_001402.1,Retroviridae
NC_001451.1,Coronaviridae
NC_010800.1,Coronaviridae
NC_004828.1,Parvoviridae
NC_006263.1,Parvoviridae
NC_005947.1,Retroviridae
NC_015396.1,Circoviridae
NC_001408.1,Retroviridae
NC_015116.1,Retroviridae
NC_030199.1,Circoviridae
NC_001866.1,Retroviridae
NC_015126.1,Reoviridae
NC_015127.1,Reoviridae
NC_015128.1,Reoviridae
NC_015129.1,Reoviridae
NC_015130.1,Reoviridae
NC_015131.1,Reoviridae
NC_015132.1,Reoviridae
NC_015133.1,Reoviridae
NC_015134.1,Reoviridae
NC_015135.1,Reoviridae
NC_034968.1,Paramyxoviridae
NC_006553.1,Picornaviridae
NC_008250.2,Picornaviridae
NC_024766.1,Picornaviridae
NC_024767.1,Picornaviridae
NC_028970.1,Picornaviridae
NC_026650.1,Circoviridae
NC_026636.1,Circoviridae
NC_026637.1,Circoviridae
NC_026638.1,Circoviridae
NC_026639.1,Circoviridae
NC_026641.1,Circoviridae
NC_026642.1,Circoviridae
NC_026643.1,Circoviridae
NC_026645.1,Circoviridae
NC_026646.1,Circoviridae
NC_026653.1,Circoviridae
NC_026647.1,Circoviridae
NC_026648.1,Circoviridae
NC_026649.1,Circoviridae
NC_026651.1,Circoviridae
NC_026652.1,Circoviridae
NC_026654.1,Circoviridae
NC_026626.1,Circoviridae
NC_026627.1,Circoviridae
NC_026630.1,Circoviridae
NC_026631.1,Circoviridae
NC_026625.1,Circoviridae
NC_026628.1,Circoviridae
NC_026629.1,Circoviridae
NC_026632.1,Circoviridae
NC_026633.1,Circoviridae
NC_026634.1,Circoviridae
NC_026635.1,Circoviridae
NC_023864.1,Geminiviridae
NC_018713.1,Flaviviridae
NC_010355.1,Siphoviridae
NC_036587.1,Alphaflexiviridae
NC_022517.1,Retroviridae
NC_015877.1,Reoviridae
NC_015878.1,Reoviridae
NC_015879.1,Reoviridae
NC_015880.1,Reoviridae
NC_015881.1,Reoviridae
NC_015882.1,Reoviridae
NC_015883.1,Reoviridae
NC_015884.1,Reoviridae
NC_015885.1,Reoviridae
NC_015886.1,Reoviridae
NC_009760.1,Myoviridae
NC_019487.1,Myoviridae
NC_031245.1,Myoviridae
NC_031039.1,Myoviridae
NC_031121.2,Podoviridae
NC_019515.1,Myoviridae
NC_006557.1,Siphoviridae
NC_031024.1,Myoviridae
NC_029121.1,Myoviridae
NC_023501.1,Myoviridae
NC_018085.1,Siphoviridae
NC_031015.2,Podoviridae
NC_031006.1,Myoviridae
NC_028944.1,Myoviridae
NC_031054.1,Myoviridae
NC_030920.1,Myoviridae
NC_024207.1,Myoviridae
NC_007814.1,Siphoviridae
NC_007458.1,Siphoviridae
NC_006945.1,Tectiviridae
NC_024205.1,Myoviridae
NC_027366.1,Myoviridae
NC_021336.1,Podoviridae
NC_027374.1,Myoviridae
NC_031070.1,Myoviridae
NC_031037.1,Myoviridae
NC_031012.1,Myoviridae
NC_031049.1,Myoviridae
NC_028782.1,Podoviridae
NC_017976.1,Siphoviridae
NC_031055.1,Siphoviridae
NC_004167.1,Siphoviridae
NC_028886.1,Siphoviridae
NC_029008.1,Siphoviridae
NC_023599.1,Siphoviridae
NC_019502.1,Siphoviridae
NC_031100.1,Myoviridae
NC_020883.1,Siphoviridae
NC_031027.1,Myoviridae
NC_031034.1,Myoviridae
NC_030925.1,Myoviridae
NC_004166.2,Siphoviridae
NC_031032.1,Podoviridae
NC_023007.1,Siphoviridae
NC_030904.1,Siphoviridae
NC_028748.2,Siphoviridae
NC_028789.1,Podoviridae
NC_025424.1,Siphoviridae
NC_022094.1,Tectiviridae
NC_031116.1,Myoviridae
NC_029024.1,Siphoviridae
NC_020081.2,Myoviridae
NC_020478.1,Siphoviridae
NC_011523.1,Tectiviridae
NC_028887.1,Myoviridae
NC_004165.1,Podoviridae
NC_018863.1,Myoviridae
NC_005258.1,Tectiviridae
NC_018856.1,Myoviridae
NC_020873.1,Myoviridae
NC_024137.1,Myoviridae
NC_018860.1,Myoviridae
NC_027355.1,Myoviridae
NC_022769.1,Myoviridae
NC_022773.1,Siphoviridae
NC_019912.1,Siphoviridae
NC_024792.1,Myoviridae
NC_018857.1,Myoviridae
NC_024216.1,Myoviridae
NC_022761.1,Myoviridae
NC_025423.1,Myoviridae
NC_020479.1,Siphoviridae
NC_031056.1,Myoviridae
NC_020477.1,Siphoviridae
NC_020480.1,Siphoviridae
NC_023719.1,Myoviridae
NC_002649.1,Podoviridae
NC_022766.1,Siphoviridae
NC_022771.1,Myoviridae
NC_024213.1,Myoviridae
NC_011167.1,Siphoviridae
NC_027352.1,Myoviridae
NC_028982.1,Myoviridae
NC_024211.1,Myoviridae
NC_021856.1,Myoviridae
NC_022764.1,Podoviridae
NC_028926.1,Podoviridae
NC_027372.1,Podoviridae
NC_011048.1,Podoviridae
NC_022770.1,Podoviridae
NC_027394.1,Podoviridae
NC_022765.1,Siphoviridae
NC_024788.1,Myoviridae
NC_028983.1,Myoviridae
NC_022774.1,Siphoviridae
NC_001884.1,Siphoviridae
NC_030903.1,Myoviridae
NC_011421.1,Myoviridae
NC_022763.1,Myoviridae
NC_028856.1,Siphoviridae
NC_022767.1,Siphoviridae
NC_028777.1,Siphoviridae
NC_011645.1,Siphoviridae
NC_022088.2,Myoviridae
NC_028890.1,Myoviridae
NC_007734.1,Siphoviridae
NC_016563.1,Myoviridae
NC_011551.1,Podoviridae
NC_028841.1,Siphoviridae
NC_016770.1,Siphoviridae
NC_011222.1,Siphoviridae
NC_012534.1,Flaviviridae
NC_034206.1,Picornaviridae
NC_024709.1,Coronaviridae
NC_033725.1,Flaviviridae
NC_001642.1,Alphaflexiviridae
NC_023850.1,Geminiviridae
NC_009745.1,Potyviridae
NC_003473.1,Nanoviridae
NC_003474.1,Nanoviridae
NC_003475.1,Nanoviridae
NC_003476.1,Nanoviridae
NC_003477.1,Nanoviridae
NC_003479.1,Nanoviridae
NC_002729.1,Betaflexiviridae
NC_015506.1,Caulimoviridae
NC_007002.1,Caulimoviridae
NC_015507.1,Caulimoviridae
NC_006955.1,Caulimoviridae
NC_003381.1,Caulimoviridae
NC_015502.1,Caulimoviridae
NC_015503.1,Caulimoviridae
NC_015504.1,Caulimoviridae
NC_015505.1,Caulimoviridae
NC_008018.1,Caulimoviridae
NC_007003.1,Caulimoviridae
NC_010107.1,Papillomaviridae
NC_010817.1,Papillomaviridae
NC_004198.1,Reoviridae
NC_004200.1,Reoviridae
NC_004201.1,Reoviridae
NC_004202.1,Reoviridae
NC_004203.1,Reoviridae
NC_004204.1,Reoviridae
NC_004211.1,Reoviridae
NC_004217.1,Reoviridae
NC_004218.1,Reoviridae
NC_004219.1,Reoviridae
NC_004220.1,Reoviridae
NC_004221.1,Reoviridae
NC_029054.2,Flaviviridae
NC_015399.1,Circoviridae
NC_013458.1,Nodaviridae
NC_013459.1,Nodaviridae
NC_003482.1,Potyviridae
NC_003483.1,Potyviridae
NC_003469.1,Virgaviridae
NC_003478.1,Virgaviridae
NC_003481.1,Virgaviridae
NC_029906.1,Luteoviridae
NC_004666.1,Luteoviridae
NC_021481.1,Luteoviridae
NC_003680.1,Luteoviridae
NC_002160.2,Luteoviridae
NC_004750.1,Luteoviridae
NC_002990.1,Potyviridae
NC_002991.1,Potyviridae
NC_028244.1,Rhabdoviridae
NC_001786.1,Togaviridae
NC_034535.1,Rhabdoviridae
NC_009741.1,Potyviridae
NC_035758.1,Astroviridae
NC_035471.1,Astroviridae
NC_032484.1,Astroviridae
NC_032426.1,Astroviridae
NC_032423.1,Astroviridae
NC_028045.1,Circoviridae
NC_034547.1,Circoviridae
NC_025792.1,Circoviridae
NC_025791.1,Circoviridae
NC_014929.1,Circoviridae
NC_029300.1,Parvoviridae
NC_021206.1,Circoviridae
NC_035799.1,Circoviridae
NC_010437.1,Coronaviridae
NC_014470.1,Coronaviridae
NC_022103.1,Coronaviridae
NC_018871.1,Coronaviridae
NC_034440.1,Coronaviridae
NC_033819.1,Picornaviridae
NC_031947.1,Flaviviridae
NC_020881.1,Hepadnaviridae
NC_028366.1,Picornaviridae
NC_018382.1,Hepeviridae
NC_025217.1,Coronaviridae
NC_033823.1,Iflaviridae
NC_033818.1,Picornaviridae
NC_016895.2,Adenoviridae
NC_015932.1,Adenoviridae
NC_029898.1,Adenoviridae
NC_029902.1,Adenoviridae
NC_029899.1,Adenoviridae
NC_030860.1,Adenoviridae
NC_030874.1,Adenoviridae
NC_034626.1,Adenoviridae
NC_035072.1,Adenoviridae
NC_031948.1,Adenoviridae
NC_015940.1,Picornaviridae
NC_015941.1,Picornaviridae
NC_015934.1,Picornaviridae
NC_026766.1,Polyomaviridae
NC_033820.1,Picornaviridae
NC_017936.1,Caliciviridae
NC_033776.1,Caliciviridae
NC_014765.1,Phycodnaviridae
NC_015721.1,Myoviridae
NC_019525.1,Myoviridae
NC_002643.1,Microviridae
NC_001944.1,Circoviridae
NC_032111.1,Poxviridae
NC_003504.1,Geminiviridae
NC_003505.1,Geminiviridae
NC_019568.1,Geminiviridae
NC_019569.1,Geminiviridae
NC_022003.1,Geminiviridae
NC_022005.1,Geminiviridae
NC_004047.1,Potyviridae
NC_003397.1,Potyviridae
NC_001930.1,Geminiviridae
NC_001931.1,Geminiviridae
NC_004042.1,Geminiviridae
NC_004043.1,Geminiviridae
NC_001438.1,Geminiviridae
NC_001439.1,Geminiviridae
NC_003369.1,Luteoviridae
NC_018070.1,Tospoviridae
NC_018071.1,Tospoviridae
NC_018072.1,Tospoviridae
NC_003495.1,Secoviridae
NC_003496.1,Secoviridae
NC_028139.1,Secoviridae
NC_028146.1,Secoviridae
NC_010560.1,Closteroviridae
NC_010561.1,Closteroviridae
NC_003493.2,Geminiviridae
NC_015487.1,Geminiviridae
NC_003492.1,Potyviridae
NC_010255.1,Arenaviridae
NC_010256.1,Arenaviridae
NC_027429.1,Parvoviridae
NC_024151.1,Totiviridae
NC_016962.1,Togaviridae
NC_027631.1,Tymoviridae
NC_004452.3,Tombusviridae
NC_002766.1,Luteoviridae
NC_011556.1,Partitiviridae
NC_011557.1,Partitiviridae
NC_010417.1,Geminiviridae
NC_001412.1,Geminiviridae
NC_003491.1,Luteoviridae
NC_005304.1,Potyviridae
NC_003513.1,Benyviridae
NC_003514.1,Benyviridae
NC_003515.1,Benyviridae
NC_003516.1,Benyviridae
NC_003517.1,Benyviridae
NC_005209.2,Closteroviridae
NC_005210.2,Closteroviridae
NC_003693.1,Secoviridae
NC_003694.1,Secoviridae
NC_003518.1,Virgaviridae
NC_003519.1,Virgaviridae
NC_003520.1,Virgaviridae
NC_003510.1,Virgaviridae
NC_003511.1,Virgaviridae
NC_003512.1,Virgaviridae
NC_004756.1,Luteoviridae
NC_001598.1,Closteroviridae
NC_032476.1,Hypoviridae
NC_032616.1,Hypoviridae
NC_007803.1,Paramyxoviridae
NC_009642.1,Virgaviridae
NC_027915.1,Secoviridae
NC_010646.1,Coronaviridae
NC_032405.1,Tombusviridae
NC_025358.1,Rhabdoviridae
NC_003045.1,Coronaviridae
NC_026011.1,Coronaviridae
NC_001531.1,Papillomaviridae
NC_001596.1,Papillomaviridae
NC_001591.1,Papillomaviridae
NC_004500.1,Papillomaviridae
NC_005134.2,Papillomaviridae
NC_015691.1,Papillomaviridae
NC_027140.1,Phenuiviridae
NC_027141.1,Phenuiviridae
NC_027142.1,Phenuiviridae
NC_012041.1,Geminiviridae
NC_011919.1,Geminiviridae
NC_014845.1,Geminiviridae
NC_003418.1,Geminiviridae
NC_023014.1,Potyviridae
NC_014325.1,Potyviridae
NC_035184.1,Dicistroviridae
NC_027921.1,Narnaviridae
NC_034514.1,Partitiviridae
NC_034524.1,Partitiviridae
NC_024894.1,Geminiviridae
NC_024895.1,Geminiviridae
NC_032112.1,Dicistroviridae
NC_032115.1,Dicistroviridae
NC_001411.2,Nodaviridae
NC_002037.1,Nodaviridae
NC_023299.1,Nanoviridae
NC_023300.1,Nanoviridae
NC_023301.1,Nanoviridae
NC_023302.1,Nanoviridae
NC_023304.1,Nanoviridae
NC_023305.1,Nanoviridae
NC_023306.1,Nanoviridae
NC_023307.1,Nanoviridae
NC_003784.1,Dicistroviridae
NC_008182.1,Secoviridae
NC_008183.1,Secoviridae
NC_009890.1,Totiviridae
NC_011553.1,Bromoviridae
NC_011554.1,Bromoviridae
NC_011555.2,Bromoviridae
NC_022072.1,Closteroviridae
NC_015706.1,Alphaflexiviridae
NC_029303.1,Caulimoviridae
NC_008558.1,Potyviridae
NC_006962.2,Closteroviridae
NC_006963.2,Closteroviridae
NC_003502.1,Secoviridae
NC_003509.1,Secoviridae
NC_010837.1,Geminiviridae
NC_010838.1,Geminiviridae
NC_000936.1,Parvoviridae
NC_005041.2,Parvoviridae
NC_019035.1,Geminiviridae
NC_019036.1,Geminiviridae
NC_005982.1,Birnaviridae
NC_005983.1,Birnaviridae
NC_019415.1,Potyviridae
NC_028462.1,Caulimoviridae
NC_014593.1,Amalgaviridae
NC_024476.1,Ophioviridae
NC_036634.1,Ophioviridae
NC_036635.1,Ophioviridae
NC_003138.2,Caulimoviridae
NC_003499.1,Betaflexiviridae
NC_022250.1,Bromoviridae
NC_022251.1,Bromoviridae
NC_022252.1,Bromoviridae
NC_018519.1,Closteroviridae
NC_030445.1,Hepadnaviridae
NC_006007.1,Reoviridae
NC_006008.2,Reoviridae
NC_006010.1,Reoviridae
NC_006013.2,Reoviridae
NC_006014.1,Reoviridae
NC_006015.1,Reoviridae
NC_006022.1,Reoviridae
NC_006023.1,Reoviridae
NC_006024.2,Reoviridae
NC_006025.1,Reoviridae
NC_025251.1,Rhabdoviridae
NC_031079.1,Rhabdoviridae
NC_027713.1,Iflaviridae
NC_015524.1,Tymoviridae
NC_001962.1,Baculoviridae
NC_004142.1,Nodaviridae
NC_004145.1,Nodaviridae
NC_003679.1,Flaviviridae
NC_005357.1,Podoviridae
NC_030701.1,Bornaviridae
NC_030795.1,Papillomaviridae
NC_030796.1,Papillomaviridae
NC_030797.1,Papillomaviridae
NC_030798.1,Papillomaviridae
NC_030799.1,Papillomaviridae
NC_030800.1,Papillomaviridae
NC_030801.1,Papillomaviridae
NC_001442.1,Polyomaviridae
NC_031959.2,Parvoviridae
NC_034268.1,Chrysoviridae
NC_034269.1,Chrysoviridae
NC_034270.1,Chrysoviridae
NC_034271.1,Chrysoviridae
NC_025214.1,Totiviridae
NC_033476.1,Partitiviridae
NC_033477.1,Partitiviridae
NC_033494.1,Partitiviridae
NC_033495.1,Partitiviridae
NC_033496.1,Partitiviridae
NC_010349.1,Partitiviridae
NC_010350.1,Partitiviridae
NC_010351.1,Partitiviridae
NC_009224.1,Totiviridae
NC_031752.1,Endornaviridae
NC_011372.2,Narnaviridae
NC_028471.1,Narnaviridae
NC_028472.1,Narnaviridae
NC_028474.1,Narnaviridae
