accession,family
NC_028483.1,Totiviridae
NC_028481.1,Totiviridae
NC_028480.1,Totiviridae
NC_028476.1,Botourmiaviridae
NC_028474.1,Mitoviridae
NC_028472.1,Mitoviridae
NC_028471.1,Mitoviridae
NC_028475.1,Mitoviridae
NC_028473.1,Narnaviridae
NC_028478.1,Virgaviridae
NC_028482.1,Chuviridae
NC_028477.1,Totiviridae
NC_028494.1,Partitiviridae
NC_028499.1,Partitiviridae
NC_028495.1,Chrysoviridae
NC_028496.1,Chrysoviridae
NC_028497.1,Chrysoviridae
NC_028500.1,Chrysoviridae
NC_028636.1,Baculoviridae
NC_028635.1,Polyomaviridae
NC_028649.1,Alphaflexiviridae
NC_028462.1,Caulimoviridae
NC_028492.1,Papillomaviridae
NC_037570.1,Reoviridae
NC_037571.1,Reoviridae
NC_037572.1,Reoviridae
NC_028465.1,Reoviridae
NC_037574.1,Reoviridae
NC_037576.1,Reoviridae
NC_037577.1,Reoviridae
NC_037578.1,Reoviridae
NC_037573.1,Reoviridae
NC_037575.1,Reoviridae
NC_023339.1,Tombusviridae
NC_028650.1,Parvoviridae
NC_029122.1,Nairoviridae
NC_029123.1,Nairoviridae
NC_029124.1,Nairoviridae
NC_028891.1,Herpesviridae
NC_028902.1,Leviviridae
NC_028975.1,Betaflexiviridae
NC_028868.1,Betaflexiviridae
NC_028949.1,Endornaviridae
NC_028989.1,Geminiviridae
NC_028921.1,Totiviridae
NC_028973.1,Parvoviridae
NC_028981.1,Picornaviridae
NC_028970.1,Picornaviridae
NC_028964.1,Picornaviridae
NC_028806.1,Coronaviridae
NC_029034.2,Virgaviridae
NC_029037.2,Virgaviridae
NC_029035.2,Virgaviridae
NC_028948.1,Totiviridae
NC_028993.1,Microviridae
NC_029014.1,Microviridae
NC_029012.1,Microviridae
NC_028867.1,Rhabdoviridae
NC_028824.1,Coronaviridae
NC_028814.1,Coronaviridae
NC_028833.1,Coronaviridae
NC_028811.1,Coronaviridae
NC_029038.1,Secoviridae
NC_029036.1,Secoviridae
NC_028985.1,Geminiviridae
NC_029051.1,Potyviridae
NC_029053.1,Arteriviridae
NC_029052.1,Dicistroviridae
NC_029096.1,Totiviridae
NC_029095.1,Endornaviridae
NC_029064.1,Endornaviridae
NC_029117.1,Geminiviridae
NC_029105.1,Geminiviridae
NC_037611.1,Geminiviridae
NC_029125.1,Megabirnaviridae
NC_029089.1,Betaflexiviridae
NC_029088.1,Betaflexiviridae
NC_029087.1,Betaflexiviridae
NC_029086.1,Betaflexiviridae
NC_029085.1,Betaflexiviridae
NC_029082.1,Phenuiviridae
NC_037616.1,Phenuiviridae
NC_037617.1,Phenuiviridae
NC_029063.1,Tymoviridae
NC_029128.1,Phenuiviridae
NC_029129.1,Phenuiviridae
NC_029127.1,Phenuiviridae
NC_029076.1,Potyviridae
NC_029133.1,Parvoviridae
NC_029300.1,Parvoviridae
NC_029303.1,Caulimoviridae
NC_029301.1,Betaflexiviridae
NC_029302.1,Totiviridae
NC_024910.1,Reoviridae
NC_024911.1,Reoviridae
NC_024912.1,Reoviridae
NC_024914.1,Reoviridae
NC_024916.1,Reoviridae
NC_024917.1,Reoviridae
NC_024918.1,Reoviridae
NC_024919.1,Reoviridae
NC_024920.1,Reoviridae
NC_023420.2,Reoviridae
NC_024913.1,Reoviridae
NC_024915.1,Reoviridae
NC_023422.1,Picornaviridae
NC_029306.1,Marnaviridae
NC_029307.1,Marnaviridae
NC_029309.1,Marnaviridae
NC_033620.1,Herpesviridae
NC_033619.1,Iflaviridae
NC_033776.1,Caliciviridae
NC_033781.1,Papillomaviridae
NC_033783.1,Reoviridae
NC_033785.1,Reoviridae
NC_033786.1,Reoviridae
NC_033787.1,Reoviridae
NC_033788.1,Reoviridae
NC_033789.1,Reoviridae
NC_033790.1,Reoviridae
NC_033791.1,Reoviridae
NC_033784.1,Reoviridae
NC_033782.1,Reoviridae
NC_033779.1,Geminiviridae
NC_033777.1,Tombusviridae
NC_033792.1,Astroviridae
NC_033740.1,Papillomaviridae
NC_033706.1,Solemoviridae
NC_033701.1,Rhabdoviridae
NC_033760.1,Mypoviridae
NC_033761.1,Mypoviridae
NC_033759.1,Mypoviridae
NC_033725.1,Flaviviridae
NC_033729.1,Botourmiaviridae
NC_033772.1,Tospoviridae
NC_033773.1,Tospoviridae
NC_033774.1,Tospoviridae
NC_033745.1,Papillomaviridae
NC_033744.1,Bacilladnaviridae
NC_033741.1,Bacilladnaviridae
NC_033746.1,Bacilladnaviridae
NC_033747.1,Genomoviridae
NC_033742.1,Genomoviridae
NC_033743.1,Genomoviridae
NC_033736.1,Genomoviridae
NC_033738.1,Caulimoviridae
NC_033695.1,Picornaviridae
NC_033700.1,Tobaniviridae
NC_033704.1,Chuviridae
NC_033705.1,Rhabdoviridae
NC_033753.1,Qinviridae
NC_033754.1,Qinviridae
NC_018102.1,Polyomaviridae
NC_018105.1,Caulimoviridae
NC_033824.1,Marnaviridae
NC_033823.1,Iflaviridae
NC_033820.1,Picornaviridae
NC_033828.1,Tymoviridae
NC_033830.1,Phenuiviridae
NC_033831.1,Phenuiviridae
NC_033847.1,Phenuiviridae
NC_033832.1,Tospoviridae
NC_033833.1,Tospoviridae
NC_033834.1,Tospoviridae
NC_033821.1,Astroviridae
NC_018136.1,Phenuiviridae
NC_018137.1,Phenuiviridae
NC_018138.1,Phenuiviridae
NC_018151.1,Geminiviridae
NC_018173.1,Closteroviridae
NC_018174.1,Closteroviridae
NC_018175.1,Betaflexiviridae
NC_018176.1,Potyviridae
NC_034017.1,Flaviviridae
NC_018226.1,Picornaviridae
NC_034161.1,Picobirnaviridae
NC_034160.1,Picobirnaviridae
NC_034159.1,Partitiviridae
NC_034167.1,Partitiviridae
NC_034215.1,Secoviridae
NC_034214.1,Secoviridae
NC_034210.1,Circoviridae
NC_034216.1,Endornaviridae
NC_034217.1,Iflaviridae
NC_034219.1,Polyomaviridae
NC_034218.1,Polyomaviridae
NC_034221.1,Polyomaviridae
NC_034220.1,Polyomaviridae
NC_034222.1,Flaviviridae
NC_034223.1,Flaviviridae
NC_034224.1,Flaviviridae
NC_034225.1,Flaviviridae
NC_034240.1,Rhabdoviridae
NC_034243.1,Tombusviridae
NC_018403.1,Bromoviridae
NC_018404.1,Bromoviridae
NC_018402.1,Bromoviridae
NC_018382.1,Hepeviridae
NC_018399.1,Parvoviridae
NC_018384.1,Secoviridae
NC_018383.1,Secoviridae
NC_034265.1,Solemoviridae
NC_034253.1,Polyomaviridae
NC_034247.1,Solemoviridae
NC_034246.1,Solemoviridae
NC_034245.1,Picornaviridae
NC_034254.1,Orthomyxoviridae
NC_034255.1,Orthomyxoviridae
NC_034256.1,Orthomyxoviridae
NC_034261.1,Orthomyxoviridae
NC_034262.1,Orthomyxoviridae
NC_034263.1,Orthomyxoviridae
NC_034252.1,Caulimoviridae
NC_034251.1,Polyomaviridae
NC_034264.1,Betaflexiviridae
NC_034273.1,Potyviridae
NC_018450.1,Parvoviridae
NC_018449.1,Solemoviridae
NC_018456.1,Geminiviridae
NC_018457.1,Geminiviridae
NC_018481.1,Arenaviridae
NC_018484.1,Arenaviridae
NC_018482.1,Arenaviridae
NC_018483.1,Arenaviridae
NC_018455.1,Potyviridae
NC_018461.1,Peribunyaviridae
NC_018462.1,Peribunyaviridae
NC_018466.1,Peribunyaviridae
NC_018459.1,Peribunyaviridae
NC_018460.1,Peribunyaviridae
NC_018465.1,Peribunyaviridae
NC_018464.1,Peribunyaviridae
NC_018467.1,Peribunyaviridae
NC_018463.1,Peribunyaviridae
NC_018476.1,Peribunyaviridae
NC_018477.1,Peribunyaviridae
NC_018478.1,Peribunyaviridae
NC_034375.1,Alphaflexiviridae
NC_034378.1,Polyomaviridae
NC_034377.1,Betaflexiviridae
NC_034376.1,Betaflexiviridae
NC_034381.1,Picornaviridae
NC_034384.1,Iflaviridae
NC_030310.1,Geminiviridae
NC_030378.1,Tospoviridae
NC_030379.1,Tospoviridae
NC_030380.1,Tospoviridae
NC_030392.1,Totiviridae
NC_023441.1,Bacilladnaviridae
NC_023442.1,Baculoviridae
NC_030396.1,Mitoviridae
NC_030395.1,Mitoviridae
NC_030393.1,Mitoviridae
NC_030398.2,Totiviridae
NC_030400.1,Flaviviridae
NC_030402.1,Parvoviridae
NC_030405.1,Reoviridae
NC_030406.1,Reoviridae
NC_030407.1,Reoviridae
NC_030409.1,Reoviridae
NC_030410.1,Reoviridae
NC_030413.1,Reoviridae
NC_030415.1,Reoviridae
NC_030411.1,Reoviridae
NC_030412.1,Reoviridae
NC_030414.2,Reoviridae
NC_030408.1,Reoviridae
NC_030391.1,Potyviridae
NC_030399.1,Mitoviridae
NC_030397.1,Mitoviridae
NC_030447.1,Genomoviridae
NC_030448.1,Genomoviridae
NC_030479.1,Partitiviridae
NC_030480.1,Partitiviridae
NC_030458.1,Microviridae
NC_030472.1,Microviridae
NC_030462.1,Caulimoviridae
NC_030657.1,Betaflexiviridae
NC_030658.1,Fimoviridae
NC_030659.1,Fimoviridae
NC_030660.1,Fimoviridae
NC_030661.1,Fimoviridae
NC_030662.1,Fimoviridae
NC_030663.1,Fimoviridae
NC_030654.1,Deltaflexiviridae
NC_030653.1,Flaviviridae
NC_030693.1,Tymoviridae
NC_030699.1,Geminiviridae
NC_030701.1,Bornaviridae
NC_030742.1,Tombusviridae
NC_030749.1,Geminiviridae
NC_030748.1,Geminiviridae
NC_030746.1,Alphaflexiviridae
NC_030747.1,Mitoviridae
NC_030750.1,Phasmaviridae
NC_030752.1,Phasmaviridae
NC_030793.1,Caliciviridae
NC_030801.1,Papillomaviridae
NC_030800.1,Papillomaviridae
NC_030799.1,Papillomaviridae
NC_030798.1,Papillomaviridae
NC_030797.1,Papillomaviridae
NC_030796.1,Papillomaviridae
NC_030795.1,Papillomaviridae
NC_030794.1,Potyviridae
NC_030838.1,Polyomaviridae
NC_030840.1,Potyviridae
NC_030847.1,Potyviridae
NC_030839.1,Papillomaviridae
NC_030843.1,Picornaviridae
NC_030922.1,Astroviridae
NC_030864.1,Mitoviridae
NC_030863.1,Mitoviridae
NC_030862.1,Mitoviridae
NC_030861.1,Mitoviridae
NC_030873.1,Parvoviridae
NC_030876.1,Partitiviridae
NC_030875.1,Partitiviridae
NC_030867.1,Totiviridae
NC_030877.1,Partitiviridae
NC_030882.1,Partitiviridae
NC_030878.1,Partitiviridae
NC_030879.1,Partitiviridae
NC_030866.1,Narnaviridae
NC_030865.1,Narnaviridae
NC_030887.1,Genomoviridae
NC_031093.1,Rhabdoviridae
NC_031141.1,Nairoviridae
NC_031142.1,Nairoviridae
NC_031138.1,Phenuiviridae
NC_031136.1,Nairoviridae
NC_031135.1,Nairoviridae
NC_031079.1,Rhabdoviridae
NC_031130.1,Partitiviridae
NC_031134.1,Partitiviridae
NC_031106.1,Picornaviridae
NC_031105.1,Picornaviridae
NC_031089.1,Betaflexiviridae
NC_031221.1,Peribunyaviridae
NC_031222.1,Peribunyaviridae
NC_031218.1,Nairoviridae
NC_031220.1,Nairoviridae
NC_031216.1,Rhabdoviridae
NC_031215.1,Rhabdoviridae
NC_031225.1,Rhabdoviridae
NC_031283.1,Rhabdoviridae
NC_031282.1,Rhabdoviridae
NC_031278.1,Rhabdoviridae
NC_031295.1,Phenuiviridae
NC_031298.1,Phenuiviridae
NC_031276.1,Rhabdoviridae
NC_031293.1,Phasmaviridae
NC_031294.1,Phasmaviridae
NC_031287.1,Phenuiviridae
NC_031292.1,Phenuiviridae
NC_031288.1,Nairoviridae
NC_031275.1,Nyamiviridae
NC_031270.1,Lispiviridae
NC_031268.1,Rhabdoviridae
NC_031285.1,Nairoviridae
NC_031259.1,Lispiviridae
NC_031240.1,Rhabdoviridae
NC_031236.1,Rhabdoviridae
NC_031232.1,Rhabdoviridae
NC_031227.1,Rhabdoviridae
NC_031301.1,Rhabdoviridae
NC_031313.1,Phenuiviridae
NC_031316.1,Phenuiviridae
NC_031314.1,Phenuiviridae
NC_031309.1,Phasmaviridae
NC_031312.1,Phasmaviridae
NC_031308.1,Phasmaviridae
NC_031302.1,Rhabdoviridae
NC_031306.1,Geminiviridae
NC_031320.1,Phenuiviridae
NC_031321.1,Phenuiviridae
NC_031317.1,Phenuiviridae
NC_031318.1,Phenuiviridae
NC_031326.1,Retroviridae
NC_031327.1,Flaviviridae
NC_031340.1,Geminiviridae
NC_031341.1,Mayoviridae
NC_031342.1,Mayoviridae
NC_031448.1,Geminiviridae
NC_031453.1,Geminiviridae
NC_031451.1,Geminiviridae
NC_031449.1,Endornaviridae
NC_031450.1,Parvoviridae
NC_031458.1,Geminiviridae
NC_031459.1,Geminiviridae
NC_031454.1,Geminiviridae
NC_031455.1,Geminiviridae
NC_031456.1,Geminiviridae
NC_031457.1,Geminiviridae
NC_031452.1,Geminiviridae
NC_031461.1,Endornaviridae
NC_031463.1,Endornaviridae
NC_031462.1,Endornaviridae
NC_031466.1,Geminiviridae
NC_031670.1,Parvoviridae
NC_031695.1,Parvoviridae
NC_031692.1,Tymoviridae
NC_031687.1,Dicistroviridae
NC_031690.1,Rhabdoviridae
NC_031691.1,Rhabdoviridae
NC_031688.1,Dicistroviridae
NC_031747.1,Solemoviridae
NC_031758.1,Tospoviridae
NC_031759.1,Tospoviridae
NC_031762.1,Tospoviridae
NC_031757.1,Polyomaviridae
NC_031752.1,Endornaviridae
NC_031756.1,Papillomaviridae
NC_031754.1,Geminiviridae
NC_031749.1,Iflaviridae
NC_031751.1,Parvoviridae
NC_031753.1,Circoviridae
NC_031760.1,Geminiviridae
NC_031766.1,Secoviridae
NC_031764.1,Geminiviridae
NC_031765.1,Geminiviridae
NC_031761.1,Baculoviridae
NC_033737.1,Polyomaviridae
NC_033464.1,Herpesviridae
NC_031955.1,Rhabdoviridae
NC_032004.1,Geminiviridae
NC_031961.1,Geminiviridae
NC_031988.1,Rhabdoviridae
NC_032005.1,Polyomaviridae
NC_032006.1,Geminiviridae
NC_032087.1,Iflaviridae
NC_032106.1,Totiviridae
NC_032104.1,Alphaflexiviridae
NC_032118.1,Geminiviridae
NC_032115.1,Dicistroviridae
NC_032112.1,Dicistroviridae
NC_032120.1,Polyomaviridae
NC_032150.2,Partitiviridae
NC_032149.2,Partitiviridae
NC_032143.1,Cruliviridae
NC_032145.1,Cruliviridae
NC_032144.1,Cruliviridae
NC_032136.1,Phasmaviridae
NC_032137.1,Phasmaviridae
NC_032135.1,Phasmaviridae
NC_032153.1,Phasmaviridae
NC_032151.1,Phasmaviridae
NC_032152.1,Phasmaviridae
NC_032158.1,Phenuiviridae
NC_032159.1,Phenuiviridae
NC_032160.1,Phenuiviridae
NC_023485.1,Caulimoviridae
NC_023486.1,Reoviridae
NC_023487.1,Reoviridae
NC_023488.1,Reoviridae
NC_023489.1,Reoviridae
NC_023490.1,Reoviridae
NC_023491.1,Reoviridae
NC_023492.1,Reoviridae
NC_023493.1,Reoviridae
NC_023494.1,Reoviridae
NC_023495.1,Reoviridae
NC_023496.1,Papillomaviridae
NC_032682.2,Circoviridae
NC_032222.1,Polycipiviridae
NC_032256.1,Phenuiviridae
NC_032257.1,Phenuiviridae
NC_032282.1,Phenuiviridae
NC_032276.1,Phenuiviridae
NC_032281.1,Phenuiviridae
